Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",18649.362,24682.819,44596.605,74141.546,8562.512,11958.161,24702.236,29564.431,10086.85,12724.658,19894.369,44577.115,824.486,618.621,714.257,695.756,826.063,622.141,724.279,677.176,180083,188566,233554,242812,14035.461,18501.064,26592.966,50342.108
Minería,1293421.426,1227609.704,1219303.913,1294561.736,234794.761,222088.162,274919.361,190895.081,1058626.665,1005521.542,944384.552,1103666.655,84813.461,196788.299,116883.727,147981.56,91136.848,196249.667,112750.974,157400.285,142325,166548,190685,166978,508227.489,1125854.772,1270146.989,1077642.144
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",513942.067,453127.127,656141.076,1006602.796,250738.266,194600.844,438797.303,651734.835,263203.801,258526.283,217343.773,354867.961,37376.639,25319.751,61644.957,83077.598,33005.317,24149.53,59685.947,78501.78,235688,220929,216300,231195,1300553.314,1837797.575,1980358.251,2523424.796
Construcción,405388.143,346727.279,530427.806,973332.76,283671.546,239082.711,345248.596,651142.193,121716.597,107644.568,185179.21,322190.567,11099.638,5673.818,2403.62,7333.176,7923.782,4564.675,2514.14,5831.713,704640,569856,676301,711553,84188.91,85834.351,115375.417,167652.283
Industrias manufactureras,4879546.807,6745772.046,10800994.23,14031778.72,3396177.829,5009666.247,7607196.839,8640831.427,1483368.978,1736105.799,3193797.387,5390947.292,118290.674,121681.508,217251.254,224606.187,90415.606,144042.105,197968.246,245497.13,4661062,5073432,6493020,7190294,1586990.745,2154257.963,2966441.027,3843534.767
Comercio al por mayor,472016.168,638651.702,1249588.761,2195089.055,184220.009,253735.112,372093.743,599306.962,287796.159,384916.59,877495.018,1595782.093,29020.411,26488.859,215863.892,171788.352,13806.385,14202.363,101721.134,3184.37,1107295,1286393,1582933,1804075,168003.161,244477.178,1271578.543,1100789.313
Comercio al por menor,601148.585,855006.161,1771094.058,2788341.846,260484.749,310652.75,515781.217,689257.275,340663.836,544353.411,1255312.841,2099084.571,45171.925,36923.732,36431.968,61581.009,30973.511,23696.616,28107.035,38537.54,5027463,5103255,5899054,6840541,399208.741,567201.742,963447.006,1077093.804
"Transportes, correos y almacenamiento",425696.778,500002.466,795802.764,1124268.363,240168.348,307497.393,439220.563,552409.715,185528.43,192505.073,356582.201,571858.648,64502.328,31212.741,23480.511,35156.763,64271.371,30666.167,23825.722,35241.99,718062,772333,997000,1273482,640674.35,706934.114,592882.712,913310.356
Información en medios masivos,448936.467,541876.58,624262.387,707857.842,276383.137,378376.467,427993.806,438046.697,172553.33,163500.113,196268.581,269811.145,49008.389,24680.102,140455.793,12788.075,43874.079,21427.265,139516.812,12250.59,293550,287617,363805,307724,381969.349,301733.759,853372.66,790715.222
Servicios financieros y de seguros,801228.022,837013.807,1339955.582,2035246.449,209618.458,268000.9,477934.561,555881.649,591609.564,569012.907,862021.021,1479364.8,12923.527,16919.091,22438.874,24031.253,12872.961,16879.319,22081.933,24402.659,480557,478776,662239,647493,91967.432,119705.034,177786.445,260628.095
