Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",18649.362,24682.819,44596.605,74141.546
Minería,1293421.426,1227609.704,1219303.913,1294561.736
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",513942.067,453127.127,656141.076,1006602.796
Construcción,405388.143,346727.279,530427.806,973332.76
Industrias manufactureras,4879546.807,6745772.046,10800994.23,14031778.72
Comercio al por mayor,472016.168,638651.702,1249588.761,2195089.055
Comercio al por menor,601148.585,855006.161,1771094.058,2788341.846
"Transportes, correos y almacenamiento",425696.778,500002.466,795802.764,1124268.363
Información en medios masivos,448936.467,541876.58,624262.387,707857.842
Servicios financieros y de seguros,801228.022,837013.807,1339955.582,2035246.449
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,90997.395,90947.381,206870.702,251879.082
"Servicios profesionales, científicos y técnicos",167664.723,166302.976,298277.307,308709.544
Dirección y administración de grupos empresariales o corporativos,211963.714,341749.581,498740.801,659659.086
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",241189.743,347243.812,682060.207,434356.001
Servicios educativos,103365.895,140312.838,201307.675,267128.115
Servicios de salud y de asistencia social,75447.736,109142.914,184679.974,312844.126
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",48260.045,64803.211,114581.086,148040.5
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,283717.342,366225.584,712316.408,1128539.328
Otros servicios excepto actividades gubernamentales,153341.81,187115.23,281248.638,405033.117
Total,11235922.228,13984313.218000002,22212249.98,30147410.012
