Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.17,0.11,0.08,0.09
Minería,17.19,35.72,13.07,19.29
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",7.57,4.6,6.9,10.83
Construcción,2.25,1.03,0.27,0.96
Industrias manufactureras,23.97,22.09,24.3,29.28
Comercio al por mayor,5.88,4.81,24.15,22.39
Comercio al por menor,9.15,6.7,4.08,8.03
"Transportes, correos y almacenamiento",13.07,5.67,2.63,4.58
Información en medios masivos,9.93,4.48,15.71,1.67
Servicios financieros y de seguros,2.62,3.07,2.51,3.13
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.84,0.59,0.75,0.8
"Servicios profesionales, científicos y técnicos",0.57,0.62,0.3,0.11
Dirección y administración de grupos empresariales o corporativos,0.82,1.16,0.73,0.85
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.88,4.63,0.64,1.03
Servicios educativos,0.94,1.02,0.69,0.95
Servicios de salud y de asistencia social,0.77,0.95,0.54,0.73
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.45,0.59,0.27,0.43
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.33,1.32,1.67,1.72
Otros servicios excepto actividades gubernamentales,0.61,0.83,0.71,-6.87
Total,100.0,100.0,100.0,100.0
