Actividad económica,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",12.191,42.363,59.42100000000001,77.607,0.0,0.0,0.0,0.0,18.012,7.726,13.872,10.732,147.868,101.22,62.495999999999995,176.036,0.0,0.0,0.773,0.0,45.736000000000004,17.782,22.608999999999998,35.1,279.653,87.357,669.93,1290.7640000000001
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2533.799
Construcción,632.724,617.993,581.556,641.929,250.092,188.95,590.007,1049.273,45.454,35.445,0.0,14.762,844.348,384.485,537.101,865.588,1310.783,753.5319999999999,956.539,1098.38,0.0,0.0,8.636,8.408,1415.869,1151.7939999999999,1176.749,2023.5439999999999
Industrias manufactureras,1359.3149999999998,1471.76,2021.653,2137.1000000000004,4857.748,5001.958,11989.37,25493.168,447.789,507.7579999999999,993.645,1258.7340000000002,11043.532,11262.29,24392.175,38193.135,33146.685000000005,27945.869,33514.883,74739.30099999999,131.474,111.175,186.71800000000002,207.341,7618.648999999999,22448.26,44174.421,61483.897000000004
Comercio al por mayor,914.831,1472.033,2925.205,4324.679,927.148,960.145,2503.445,2952.605,497.55,730.2529999999999,1457.1260000000002,2365.833,810.2919999999999,947.325,1691.727,4736.785,1754.9399999999998,2042.318,5289.121,6825.884,74.652,60.476,164.644,390.15999999999997,2636.519,2986.266,9047.296,9883.038
Comercio al por menor,1694.297,2430.7309999999998,5263.395,8179.692,1574.124,1945.09,4953.597,8235.235,642.679,738.954,1669.3120000000001,2500.314,1826.298,2669.0389999999998,7127.187,12653.789,3077.114,4150.474,11110.163,16232.813000000002,223.89499999999998,371.04200000000003,812.891,1560.472,3589.7799999999997,5799.723,10172.899,15005.678
"Transportes, correos y almacenamiento",868.255,959.071,1573.943,1413.323,2897.493,2845.113,4525.023,10654.298,67.511,157.248,202.53,382.155,550.566,567.0989999999999,3126.581,3048.9410000000003,1595.467,1351.516,1712.682,5093.777999999999,82.541,46.548,63.919,139.331,2503.003,2978.3050000000003,5376.096,9357.709
Información en medios masivos,2309.6530000000002,378.86999999999995,252.003,257.06,0.0,165.265,0.0,310.758,16.932,1.324,36.457,30.458,158.42000000000002,148.916,142.799,254.28,486.746,352.49199999999996,3113.504,997.716,1.8599999999999999,3.217,0.0,0.0,1484.786,60.56400000000001,747.32,0.0
Servicios financieros y de seguros,49.929,50.158,135.651,214.154,22.096,51.674,140.736,221.898,29.211,15.846,30.753,85.539,66.804,76.742,240.893,295.13899999999995,49.319,131.69,146.96800000000002,381.104,4.348,13.889,24.175,79.441,106.55600000000001,567.216,201.48399999999998,438.789
