Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.14,0.46,0.39,0.36
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,7.22,6.73,3.82,2.96
Industrias manufactureras,15.51,16.03,13.27,9.84
Comercio al por mayor,10.44,16.03,19.2,19.92
Comercio al por menor,19.33,26.47,34.55,37.68
"Transportes, correos y almacenamiento",9.9,10.45,10.33,6.51
Información en medios masivos,26.35,4.13,1.65,1.18
Servicios financieros y de seguros,0.57,0.55,0.89,0.99
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.55,0.94,0.38,0.87
"Servicios profesionales, científicos y técnicos",1.9,1.37,1.38,1.64
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.42,4.06,3.01,1.71
Servicios educativos,1.61,3.77,3.08,2.58
Servicios de salud y de asistencia social,1.03,1.17,1.42,2.28
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.83,0.85,0.46,0.7
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.75,4.31,4.06,7.41
Otros servicios excepto actividades gubernamentales,-0.53,2.68,2.1,3.36
Total,100.0,100.0,100.0,100.0
