Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.3,4.916,0.3969999999999999,1.214
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,-26.037,2.959,-0.677,-9.867
Industrias manufactureras,26.544,34.605,51.961,62.155
Comercio al por mayor,30.142,63.008,254.113,251.132
Comercio al por menor,127.075,117.546,163.31400000000002,246.249
"Transportes, correos y almacenamiento",222.169,523.953,33.527,818.266
Información en medios masivos,385.773,16.69,8.768,3.124
Servicios financieros y de seguros,0.672,0.437,1.637,20.378
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.529,11.448,-1.314,3.539
"Servicios profesionales, científicos y técnicos",9.281,4.627,2.045,1.925
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.639,2.362,14.456,6.707
Servicios educativos,29.944,47.432,-7.703,5.926
Servicios de salud y de asistencia social,2.726,8.437,7.589,7.443
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0499999999999999,3.002,1.399,18.997
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,13.042,14.136,17.066000000000003,24.629
Otros servicios excepto actividades gubernamentales,9.152,17.787,19.413,19.75
Total,838.0010000000001,873.3449999999999,565.9910000000001,1481.5670000000002
