Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.34,0.49,0.29,0.5
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,7.58,6.06,3.44,3.42
Industrias manufactureras,8.96,23.15,9.29,11.6
Comercio al por mayor,4.94,10.02,8.92,10.34
Comercio al por menor,15.46,21.25,48.51,22.89
"Transportes, correos y almacenamiento",12.97,22.19,13.94,27.69
Información en medios masivos,33.36,2.68,0.66,0.68
Servicios financieros y de seguros,0.11,0.19,0.22,1.71
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.34,1.36,1.2,1.57
"Servicios profesionales, científicos y técnicos",1.31,1.08,0.76,1.11
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.49,0.48,0.69,0.56
Servicios educativos,1.58,1.23,2.5,4.17
Servicios de salud y de asistencia social,1.49,1.66,2.14,3.02
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1.85,0.34,1.49,2.15
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.87,4.77,3.29,5.13
Otros servicios excepto actividades gubernamentales,3.34,3.07,2.66,3.47
Total,100.0,100.0,100.0,100.0
