Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,465.01,286.367,688.215,2000.645
Industrias manufactureras,2611.147,5617.562,8017.664,13325.015
Comercio al por mayor,491.785,514.424,578.412,883.288
Comercio al por menor,1161.558,1184.385,1923.975,2431.342
"Transportes, correos y almacenamiento",3141.518,4833.946,5512.409,6511.825
Información en medios masivos,0.0,167.347,0.0,252.136
Servicios financieros y de seguros,29.5,41.56,168.817,190.555
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,295.333,182.83,59.533,186.771
"Servicios profesionales, científicos y técnicos",97.131,120.601,101.642,123.846
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",96.388,132.294,322.406,149.229
Servicios educativos,64.839,129.569,103.046,115.774
Servicios de salud y de asistencia social,110.791,149.237,232.93,342.926
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",12.846,237.861,30.741,57.955
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,489.015,687.894,1185.495,1670.032
Otros servicios excepto actividades gubernamentales,188.342,276.677,536.48,617.22
Total,9255.203,14562.554,19461.765,28858.559
