Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,-0.0,0.0,0.0
Minería,0.0,-0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,-0.0,0.0,0.0
Construcción,0.53,0.12,2.36,0.55
Industrias manufactureras,32.81,-29.62,32.84,41.83
Comercio al por mayor,6.97,-3.23,19.2,0.29
Comercio al por menor,20.53,173.17,26.7,18.53
"Transportes, correos y almacenamiento",37.13,-34.81,9.01,34.6
Información en medios masivos,0.0,-0.12,0.0,0.03
Servicios financieros y de seguros,0.08,-0.05,0.14,0.14
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.16,0.22,1.05,0.57
"Servicios profesionales, científicos y técnicos",0.06,-0.2,0.51,-0.19
Dirección y administración de grupos empresariales o corporativos,0.0,-0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.5,-1.18,0.91,1.75
Servicios educativos,0.35,-1.28,0.09,0.51
Servicios de salud y de asistencia social,0.1,-1.0,2.16,0.23
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0,-0.62,0.53,0.5
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.62,-0.95,2.23,0.17
Otros servicios excepto actividades gubernamentales,0.17,-0.43,2.26,0.49
Total,100.0,100.0,100.0,100.0
