Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2458.0,1519.0,2325.0,2415.0
Industrias manufactureras,21692.0,24366.0,31468.0,45383.0
Comercio al por mayor,2884.0,3219.0,2871.0,3708.0
Comercio al por menor,16527.0,15448.0,17548.0,19077.0
"Transportes, correos y almacenamiento",10373.0,13625.0,19608.0,30275.0
Información en medios masivos,0.0,681.0,0.0,622.0
Servicios financieros y de seguros,351.0,462.0,1106.0,629.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,626.0,619.0,667.0,729.0
"Servicios profesionales, científicos y técnicos",1460.0,1323.0,1434.0,1163.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2921.0,4113.0,3972.0,1328.0
Servicios educativos,1416.0,2588.0,1843.0,1760.0
Servicios de salud y de asistencia social,2060.0,2020.0,2447.0,2608.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",316.0,578.0,587.0,630.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5594.0,6164.0,7549.0,8031.0
Otros servicios excepto actividades gubernamentales,4669.0,4575.0,6154.0,6369.0
Total,73347.0,81300.0,99579.0,124727.0
