Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,1.69,1.24,1.17,2.01
Industrias manufactureras,22.72,25.27,28.57,35.13
Comercio al por mayor,5.01,3.8,7.26,2.57
Comercio al por menor,18.35,15.8,13.76,12.93
"Transportes, correos y almacenamiento",36.78,37.5,34.79,34.94
Información en medios masivos,0.0,0.51,0.0,0.3
Servicios financieros y de seguros,0.12,0.18,0.21,0.14
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.55,1.12,1.85,1.49
"Servicios profesionales, científicos y técnicos",0.76,0.56,0.61,0.55
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.5,1.26,0.92,0.62
Servicios educativos,1.01,3.47,1.39,1.83
Servicios de salud y de asistencia social,1.29,1.6,1.72,1.53
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.4,1.45,0.62,0.8
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.65,4.11,4.67,3.18
Otros servicios excepto actividades gubernamentales,3.16,2.14,2.47,1.98
Total,100.0,100.0,100.0,100.0
