Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.84,0.29,0.25,0.14
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2.12,1.34,0.0,0.19
Industrias manufactureras,20.93,19.16,18.03,16.04
Comercio al por mayor,23.26,27.55,26.45,30.14
Comercio al por menor,30.04,27.88,30.3,31.86
"Transportes, correos y almacenamiento",3.16,5.93,3.68,4.87
Información en medios masivos,0.79,0.05,0.66,0.39
Servicios financieros y de seguros,1.37,0.6,0.56,1.09
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.23,0.31,0.25,0.31
"Servicios profesionales, científicos y técnicos",1.38,1.12,0.75,0.72
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.72,-0.04,3.62,0.76
Servicios educativos,1.41,4.53,7.27,1.02
Servicios de salud y de asistencia social,1.2,1.33,0.87,1.75
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.57,0.3,0.1,0.22
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.86,4.98,3.96,6.86
Otros servicios excepto actividades gubernamentales,5.1,4.66,3.26,3.63
Total,100.0,100.0,100.0,100.0
