Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",-0.056,0.0489999999999999,0.015,-0.002
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,6.562,0.314,0.0,-0.001
Industrias manufactureras,-46.986,5.586,-51.74,255.789
Comercio al por mayor,49.81099999999999,65.762,51.193,-13.619999999999996
Comercio al por menor,88.029,39.922,49.439,62.937
"Transportes, correos y almacenamiento",7.865,39.109,-0.716,125.676
Información en medios masivos,3.174,0.0,-0.005,0.004
Servicios financieros y de seguros,0.299,1.937,0.393,1.742
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.475,0.7970000000000002,-1.659,4.669
"Servicios profesionales, científicos y técnicos",0.336,0.795,0.118,0.434
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.0900000000000003,1.647,-9.327,1.142
Servicios educativos,0.073,8.891,0.35,0.052
Servicios de salud y de asistencia social,1.065,6.043,1.594,2.004
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.942,2.143,0.077,0.067
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.277,4.273000000000001,5.6530000000000005,4.726999999999999
Otros servicios excepto actividades gubernamentales,3.136,12.165,7.042,6.0
Total,119.09199999999996,189.433,52.427,451.62
