Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.36,0.26,0.39,0.48
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,10.0,3.59,2.36,2.85
Industrias manufactureras,59.18,65.57,67.21,61.14
Comercio al por mayor,4.26,2.82,2.64,3.81
Comercio al por menor,8.13,8.07,8.28,8.11
"Transportes, correos y almacenamiento",3.42,6.42,6.93,7.04
Información en medios masivos,1.68,0.76,0.74,0.76
Servicios financieros y de seguros,0.4,0.4,0.86,1.04
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.85,0.51,0.46,0.69
"Servicios profesionales, científicos y técnicos",0.85,0.54,0.41,0.39
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.26,1.0,1.09,1.87
Servicios educativos,0.37,1.63,0.91,0.89
Servicios de salud y de asistencia social,1.15,1.33,1.26,1.5
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.3,0.17,0.11,0.2
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.0,4.47,4.5,6.91
Otros servicios excepto actividades gubernamentales,1.8,2.45,1.85,2.33
Total,100.0,100.0,100.0,100.0
