Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.356,35.153,0.014,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,49.327,4.917,4.976,2.647
Industrias manufactureras,592.1389999999999,819.549,841.858,777.729
Comercio al por mayor,72.219,45.552,484.876,93.217
Comercio al por menor,192.865,-2195.901,283.96700000000004,235.766
"Transportes, correos y almacenamiento",158.368,46.877,40.112,293.658
Información en medios masivos,7.895,-0.936,15.269,5.345
Servicios financieros y de seguros,0.366,2.585,3.798,2.605
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.363,9.382,7.595000000000001,23.765
"Servicios profesionales, científicos y técnicos",2.876,13.126,2.488,2.854
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",22.914,3.689,9.596,27.884
Servicios educativos,3.632,102.1,8.356,1.864
Servicios de salud y de asistencia social,11.927,28.913,27.142,22.857
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1.124,0.7100000000000001,0.657,12.94
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,13.746,26.516,39.959,16.862000000000002
Otros servicios excepto actividades gubernamentales,13.755,22.149,34.095,8.423
Total,1145.872,-1035.6189999999997,1804.758,1528.416
