Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.98,1.03,0.97,1.19
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,3.44,1.71,0.98,1.77
Industrias manufactureras,42.08,50.7,51.21,40.7
Comercio al por mayor,7.48,4.82,11.78,10.67
Comercio al por menor,18.28,14.68,15.04,21.38
"Transportes, correos y almacenamiento",8.9,6.13,7.87,9.44
Información en medios masivos,1.37,0.27,0.37,0.5
Servicios financieros y de seguros,0.22,0.12,0.2,0.21
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.72,1.46,1.69,1.43
"Servicios profesionales, científicos y técnicos",0.88,0.44,0.4,0.65
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.87,8.34,0.85,0.87
Servicios educativos,1.17,3.79,1.35,1.22
Servicios de salud y de asistencia social,2.18,1.36,1.53,1.56
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.74,0.29,0.18,0.82
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.86,2.14,3.3,4.66
Otros servicios excepto actividades gubernamentales,4.83,2.72,2.27,2.94
Total,100.0,100.0,100.0,100.0
