Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,1.46,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,4178.231,1951.131,2828.173,2586.659
Industrias manufactureras,76503.742,62434.286,79038.611,119734.899
Comercio al por mayor,2753.408,3333.241,6595.604,8958.169
Comercio al por menor,5064.38,6528.759,15338.949,21723.949
"Transportes, correos y almacenamiento",2242.217,3019.913,3791.138,9600.801
Información en medios masivos,1316.646,713.409,5096.283,1651.11
Servicios financieros y de seguros,121.618,247.193,588.479,730.319
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,744.8499999999999,829.419,685.98,722.844
"Servicios profesionales, científicos y técnicos",1715.371,2248.124,947.386,1416.129
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2159.408,2172.241,2653.008,1874.784
Servicios educativos,469.141,798.881,1042.548,1668.503
Servicios de salud y de asistencia social,589.442,615.12,1070.217,2272.485
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",80.52,88.369,107.063,244.163
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1926.934,2186.953,3066.294,6095.915
Otros servicios excepto actividades gubernamentales,955.109,1208.884,2730.22,3346.489
Total,100821.017,88375.923,125581.413,182627.218
