Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2.84,1.82,1.53,0.95
Industrias manufactureras,71.86,67.64,53.47,64.44
Comercio al por mayor,3.8,4.94,8.44,5.88
Comercio al por menor,6.67,10.05,17.73,13.99
"Transportes, correos y almacenamiento",3.46,3.27,2.73,4.39
Información en medios masivos,1.06,0.85,4.97,0.86
Servicios financieros y de seguros,0.11,0.32,0.23,0.33
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.87,0.82,0.61,0.37
"Servicios profesionales, científicos y técnicos",2.08,1.17,0.86,0.7
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.62,3.04,2.66,1.06
Servicios educativos,0.62,1.43,1.17,1.08
Servicios de salud y de asistencia social,0.73,0.86,0.9,1.09
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.12,0.15,0.11,0.14
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.91,2.23,2.11,2.89
Otros servicios excepto actividades gubernamentales,0.25,1.41,2.47,1.82
Total,100.0,100.0,100.0,100.0
