Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,18.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,5947.0,3062.0,3479.0,3725.0
Industrias manufactureras,108895.0,104708.0,147832.0,161798.0
Comercio al por mayor,6736.0,7273.0,7353.0,9942.0
Comercio al por menor,31963.0,32848.0,35578.0,44965.0
"Transportes, correos y almacenamiento",3341.0,5664.0,7836.0,11110.0
Información en medios masivos,1482.0,945.0,3361.0,2920.0
Servicios financieros y de seguros,701.0,818.0,1351.0,1027.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2623.0,2542.0,1768.0,2219.0
"Servicios profesionales, científicos y técnicos",3723.0,2770.0,2268.0,2317.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",8784.0,9174.0,8011.0,4095.0
Servicios educativos,3385.0,4474.0,5224.0,4841.0
Servicios de salud y de asistencia social,4070.0,3682.0,4398.0,5365.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",506.0,566.0,677.0,834.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,10316.0,9748.0,10648.0,14109.0
Otros servicios excepto actividades gubernamentales,9736.0,9704.0,11834.0,12015.0
Total,202208.0,197978.0,251636.0,281282.0
