Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.3560000000000003,0.89,0.02,2.762
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,-0.27,0.81
Industrias manufactureras,2.156,2.5380000000000003,10.051,2.104
Comercio al por mayor,12.267,0.6000000000000001,8.006,8.124
Comercio al por menor,28.149,8.543,27.786,-11.684
"Transportes, correos y almacenamiento",1.021,0.015,1.274,0.0
Información en medios masivos,0.447,0.01,0.0,0.0
Servicios financieros y de seguros,0.0,0.09,0.113,5.456
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.235,0.094,0.496,-0.6019999999999999
"Servicios profesionales, científicos y técnicos",0.97,0.229,0.6479999999999999,-4.631
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.11,0.25,0.037,0.0
Servicios educativos,0.042,0.048,0.0,0.02
Servicios de salud y de asistencia social,1.736,0.623,1.858,10.123
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0,1.05,0.263,-4.333
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.19,0.533,-0.2739999999999999,-1.6580000000000004
Otros servicios excepto actividades gubernamentales,1.483,2.229,0.445,-12.602000000000002
Total,56.162,17.742,50.453,-6.111000000000003
