Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4.2,5.02,0.04,-45.2
Minería,0.0,0.0,0.0,-0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,-0.0
Construcción,0.0,0.0,-0.54,-13.25
Industrias manufactureras,3.84,14.31,19.92,-34.43
Comercio al por mayor,21.84,3.38,15.87,-132.94
Comercio al por menor,50.12,48.15,55.07,191.2
"Transportes, correos y almacenamiento",1.82,0.08,2.53,-0.0
Información en medios masivos,0.8,0.06,0.0,-0.0
Servicios financieros y de seguros,0.0,0.51,0.22,-89.28
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.42,0.53,0.98,9.85
"Servicios profesionales, científicos y técnicos",1.73,1.29,1.28,75.78
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,-0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.2,1.41,0.07,-0.0
Servicios educativos,0.07,0.27,0.0,-0.33
Servicios de salud y de asistencia social,3.09,3.51,3.68,-165.65
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0,5.92,0.52,70.9
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.24,3.0,-0.54,27.13
Otros servicios excepto actividades gubernamentales,2.64,12.56,0.88,206.22
Total,100.0,100.0,100.0,100.0
