Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4.8,5.36,2.77,2.96
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,0.84,0.54
Industrias manufactureras,17.82,14.62,15.45,9.76
Comercio al por mayor,3.99,3.41,5.47,4.23
Comercio al por menor,35.37,36.9,34.89,40.81
"Transportes, correos y almacenamiento",1.54,2.36,2.92,3.26
Información en medios masivos,0.55,0.53,0.0,0.0
Servicios financieros y de seguros,0.41,0.85,1.01,1.07
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.62,1.44,1.24,1.32
"Servicios profesionales, científicos y técnicos",1.92,1.85,1.73,2.17
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.43,0.71,0.47,0.25
Servicios educativos,2.25,1.56,2.44,0.82
Servicios de salud y de asistencia social,4.37,4.63,4.48,4.5
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.88,0.56,0.52,0.58
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,11.16,11.73,13.01,15.7
Otros servicios excepto actividades gubernamentales,12.89,13.49,12.78,12.04
Total,100.0,100.0,100.0,100.0
