Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.89,2.91,1.82,4.8
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,0.55,1.16
Industrias manufactureras,6.88,17.42,6.67,6.38
Comercio al por mayor,13.66,5.43,24.86,11.0
Comercio al por menor,35.09,35.0,27.37,39.65
"Transportes, correos y almacenamiento",2.12,4.92,10.56,6.13
Información en medios masivos,0.39,0.34,0.0,0.0
Servicios financieros y de seguros,0.31,2.39,0.85,0.85
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.87,3.86,3.94,3.85
"Servicios profesionales, científicos y técnicos",1.65,2.0,1.46,1.63
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.26,0.34,0.29,0.09
Servicios educativos,0.38,0.93,1.11,0.21
Servicios de salud y de asistencia social,5.27,7.02,4.94,6.15
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.82,1.13,0.87,1.1
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,20.79,4.9,9.05,11.2
Otros servicios excepto actividades gubernamentales,5.63,11.4,5.65,5.8
Total,100.0,100.0,100.0,100.0
