Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.34,0.12,0.48,0.81
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,2.07
Construcción,2.44,1.76,1.23,1.99
Industrias manufactureras,78.94,83.27,77.59,69.36
Comercio al por mayor,2.64,2.38,4.07,4.67
Comercio al por menor,3.99,4.4,5.46,7.24
"Transportes, correos y almacenamiento",2.62,2.86,3.66,6.09
Información en medios masivos,3.13,0.04,0.45,0.0
Servicios financieros y de seguros,0.11,0.33,0.33,0.43
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.51,0.27,0.47,0.6
"Servicios profesionales, científicos y técnicos",1.02,0.38,0.55,0.47
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.01,0.96,1.66,0.52
Servicios educativos,0.78,0.89,0.77,0.88
Servicios de salud y de asistencia social,0.34,0.39,0.59,0.94
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.18,0.13,0.19,0.27
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.32,1.18,1.73,2.59
Otros servicios excepto actividades gubernamentales,0.63,0.63,0.76,1.09
Total,100.0,100.0,100.0,100.0
