Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",6.001,1.864,7.007,0.121
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,379.823
Construcción,41.311,73.815,30.281,21.316
Industrias manufactureras,1266.477,2583.674,9788.52,1493.7569999999998
Comercio al por mayor,124.478,145.71699999999998,493.195,160.992
Comercio al por menor,293.057,235.374,542.2860000000001,528.4639999999999
"Transportes, correos y almacenamiento",363.201,1020.816,582.5500000000001,436.366
Información en medios masivos,220.785,0.08,23.013,0.0
Servicios financieros y de seguros,16.499000000000002,0.954,10.546,15.873
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,12.528,20.427,26.134,35.113
"Servicios profesionales, científicos y técnicos",16.023,11.616,7.361000000000001,13.357
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.87,24.184,18.249,32.884
Servicios educativos,52.339,79.843,43.32,106.727
Servicios de salud y de asistencia social,21.497,26.973,23.515,41.531
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",8.315999999999999,20.358,21.137,25.397
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,31.974,39.894,58.972,35.693
Otros servicios excepto actividades gubernamentales,28.932,30.828,29.736,44.655
Total,2504.288,4316.417000000001,11705.822000000002,3372.069
