Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.02,1.34,1.51,1.62
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.46
Construcción,8.87,5.48,3.77,4.11
Industrias manufactureras,15.11,14.99,18.23,17.77
Comercio al por mayor,6.55,7.01,5.55,6.14
Comercio al por menor,25.63,27.04,23.56,25.37
"Transportes, correos y almacenamiento",4.35,6.0,7.93,9.14
Información en medios masivos,1.69,0.12,0.9,0.0
Servicios financieros y de seguros,0.57,0.58,1.07,0.92
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.1,1.14,1.26,1.33
"Servicios profesionales, científicos y técnicos",3.2,2.44,3.08,2.32
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5.35,6.47,6.81,2.87
Servicios educativos,5.32,6.26,5.29,4.51
Servicios de salud y de asistencia social,3.21,3.65,3.38,4.22
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.82,0.97,1.02,1.14
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.28,9.27,10.32,11.23
Otros servicios excepto actividades gubernamentales,6.91,7.22,6.35,6.86
Total,100.0,100.0,100.0,100.0
