Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.14,0.1,0.28,0.41
Minería,4.42,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",5.02,0.27,0.93,1.97
Construcción,3.75,2.22,2.24,2.95
Industrias manufactureras,70.37,79.39,75.98,67.89
Comercio al por mayor,1.83,2.03,1.89,3.05
Comercio al por menor,3.52,3.87,5.11,6.18
"Transportes, correos y almacenamiento",2.59,5.11,4.87,7.34
Información en medios masivos,2.94,0.49,0.97,0.65
Servicios financieros y de seguros,0.11,0.16,0.58,0.62
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.69,0.46,0.38,0.43
"Servicios profesionales, científicos y técnicos",0.67,0.99,0.41,0.47
Dirección y administración de grupos empresariales o corporativos,0.05,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.49,0.84,1.04,0.64
Servicios educativos,0.29,0.53,0.63,0.52
Servicios de salud y de asistencia social,0.38,0.48,0.73,1.09
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.11,0.17,0.12,0.2
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.62,1.97,2.63,4.1
Otros servicios excepto actividades gubernamentales,1.02,0.91,1.23,1.49
Total,100.0,100.0,100.0,100.0
