Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",11.421,47.703,7.92,4.1
Minería,11994.865,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1854.974,269.125,110.786,501.453
Construcción,412.471,72.833,40.309,67.717
Industrias manufactureras,3228.079,3605.655,12245.686,4289.126
Comercio al por mayor,684.86,547.909,1401.057,177.254
Comercio al por menor,1543.731,-6332.931,2105.828,3032.429
"Transportes, correos y almacenamiento",1407.009,2501.516,842.441,3399.521
Información en medios masivos,922.87,-9.899,594.127,21.753
Servicios financieros y de seguros,22.551,7.437,21.942,45.012
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,46.452,50.292,89.352,119.164
"Servicios profesionales, científicos y técnicos",72.554,42.96,42.842,4.005
Dirección y administración de grupos empresariales o corporativos,1.418,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",32.49,61.579,87.827,132.616
Servicios educativos,116.187,268.559,59.525,139.001
Servicios de salud y de asistencia social,67.005,96.265,115.926,162.143
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",12.346,37.985,29.198,80.492
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,87.119,112.957,191.238,113.75
Otros servicios excepto actividades gubernamentales,95.137,140.521,122.397,85.486
Total,22613.539,1520.4660000000006,18108.401,12375.022
