Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.32,0.37,0.35,0.47
Minería,10.03,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",33.93,2.89,3.3,8.86
Construcción,1.92,1.94,1.54,2.02
Industrias manufactureras,26.92,54.56,44.76,41.56
Comercio al por mayor,2.75,3.96,6.26,4.89
Comercio al por menor,6.39,9.66,15.98,12.61
"Transportes, correos y almacenamiento",7.02,15.74,14.83,17.28
Información en medios masivos,3.44,0.45,0.86,0.31
Servicios financieros y de seguros,0.08,0.11,0.2,0.35
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.6,0.92,1.48,1.07
"Servicios profesionales, científicos y técnicos",0.72,0.89,0.65,0.5
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.34,1.54,0.97,0.9
Servicios educativos,0.94,1.61,1.68,1.92
Servicios de salud y de asistencia social,0.72,1.02,1.39,1.38
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.37,0.41,0.69,0.74
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.09,2.28,3.0,3.33
Otros servicios excepto actividades gubernamentales,1.44,1.65,2.06,1.79
Total,100.0,100.0,100.0,100.0
