Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.04167433575567543,0.021206019888844112,0.03771694999594369,0.045168973487093325
Minería,0.04712289555728205,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.050127733594520434,0.0036338948252454648,0.007005343877421234,0.009814709382535921
Construcción,0.033043134329729364,0.02392520135008842,0.021531655989703143,0.014756560246434531
Industrias manufactureras,0.05184246699232545,0.04077652800170661,0.03318131702678293,0.02555400563770309
Comercio al por mayor,0.024901567559906048,0.020592703779995572,0.016881770032881202,0.016543517143390033
Comercio al por menor,0.03377458386248939,0.03208199830840062,0.03291265063651978,0.029159124943585104
"Transportes, correos y almacenamiento",0.026993931773224338,0.04272169878201212,0.03680172187202446,0.04322713622080307
Información en medios masivos,0.026572757222883683,0.0033472694801603507,0.007552840612838215,0.004799933464627859
Servicios financieros y de seguros,0.0013350828103124391,0.001512733725894204,0.004051439586098483,0.003609516528580349
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.03391113307820608,0.023162278245552576,0.013481597783347503,0.011821221008257351
"Servicios profesionales, científicos y técnicos",0.023009700576515833,0.02931188536649535,0.011654501228344794,0.013237241888828362
Dirección y administración de grupos empresariales o corporativos,0.005562583158705742,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.017008424242870544,0.019923288257371108,0.01588512308502882,0.012673756418700494
Servicios educativos,0.022328832542306616,0.02536287431836391,0.032420448063043096,0.02275326004505861
Servicios de salud y de asistencia social,0.024193236255028137,0.020764861406410883,0.023890132336428466,0.02716369415961726
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.010457429098630712,0.011690576498851569,0.006251442711834992,0.011182236106597831
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.023348043642490754,0.021960474356761094,0.021227316518008067,0.023920871999625278
Otros servicios excepto actividades gubernamentales,0.03177619560863905,0.025845495308393605,0.028969947829147615,0.027663980814137477
Total,0.042317992833625834,0.032165392339590204,0.027167976535159358,0.022461947824790152
