Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.6644500819402142,0.478479867822187,0.2086722521561398,0.07933427612590636
Industrias manufactureras,1.5110909492830151,1.0405864295126894,0.632458755517971,0.33055344555781047
Comercio al por mayor,0.22251023863327027,0.22108099987885638,0.22434249485001714,0.20358019736951896
Comercio al por menor,0.2791610776534218,0.2945017283128945,0.27699418722970354,0.2399034482678715
"Transportes, correos y almacenamiento",0.08886109775913036,0.14713697652088323,0.1356808344520145,0.15205267931538768
Información en medios masivos,,0.040515011874590307,,0.055568059183803864
Servicios financieros y de seguros,0.009127743244952614,0.022190304263573112,0.01973343575660196,0.016678309417659607
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.20601062888423086,0.1576373613501483,0.16857380984288914,0.11848233779722772
"Servicios profesionales, científicos y técnicos",0.3847321941417047,0.3385635055801228,0.13446452107532592,0.14500114765637517
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.23965359174365522,0.16595206780360786,0.162732583316179,0.16958668483284037
Servicios educativos,0.24542941844692281,0.27583606896182455,0.44223184579139097,0.2744810930258889
Servicios de salud y de asistencia social,0.2377973847472226,0.17833975427104437,0.23516909466064334,0.23550907405170088
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.22979784324740093,0.03623751765944263,0.09471919858818177,0.1182188934221395
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.2068853405244703,0.1700950128233466,0.15472599447337987,0.1920635002323706
Otros servicios excepto actividades gubernamentales,0.2358809652942161,0.236477656423796,0.2142816424224051,0.23015646717869878
Total,0.7048797157500193,0.3862490526989236,0.31083539427496354,0.20444258768888868
