Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.17364916090584756,0.05645192216354414,0.6109115064442548,0.3521539231522664
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.197509726822225,0.24126824824597518,0.20006722721613251,0.11804749428817238
Industrias manufactureras,0.20967133914859298,0.24174585498758105,0.176542724619337,0.20115726401188305
Comercio al por mayor,0.2490135989017176,0.23232270180958922,0.3598170510332547,0.1311687093340381
Comercio al por menor,0.25634320980481407,0.22561279853700555,0.1889021647885655,0.15600733035776937
"Transportes, correos y almacenamiento",0.7293346211063145,1.0353804368187558,0.25186072338011134,0.5262840626428615
Información en medios masivos,0.7602894542695867,0.0846617694279377,0.7527461156755266,0.09874607757526463
Servicios financieros y de seguros,0.0028298096330419344,0.018985699831767528,0.0041173196976879815,0.006896476002576681
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.18308704675471776,0.19053437384999022,0.06753998000222354,0.10041577599389571
"Servicios profesionales, científicos y técnicos",0.3342004730499616,0.1576411622810733,0.10108135759264578,0.12291705835989149
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.16694830247917636,0.1139842810085785,0.12332374608124773,0.06672521055104694
Servicios educativos,0.21274814997608754,0.2307569457960783,0.19671835578213068,0.19642844069258356
Servicios de salud y de asistencia social,0.14484498868251683,0.12637979922798503,0.13447962879537456,0.14618770718454996
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.11003076429997455,0.16962820292263747,0.11497312150622033,0.06461712849002674
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.1776390420995443,0.16876789416117033,0.1119961320188545,0.11549647648664935
Otros servicios excepto actividades gubernamentales,0.059661645279911406,0.10183702042169164,0.20702223768285263,0.15953857757775305
Total,0.2769298352611885,0.15197358579103573,0.13825765782354954,0.14162991320994853
