Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,1.486478862052898,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.05496926983744308,1.1628341986958972,-0.025278644044395275,0.030821360730103425
Industrias manufactureras,0.1263528192905052,0.171511450770752,0.6845614676310326,0.06725142118454754
Comercio al por mayor,0.18004415787125597,0.17041632169869178,0.10790472595322034,1.3238595874161239
Comercio al por menor,0.17429991476477769,-0.7508802214127883,0.19923123042909482,0.17445100062597202
"Transportes, correos y almacenamiento",0.27626444330456135,0.626979991173844,0.2819706223193952,0.453593409508626
Información en medios masivos,0.27190560707057054,-0.00011727363306994698,0.004709331059550347,0.010053151567653207
Servicios financieros y de seguros,0.03969820502427289,0.00218701138496295,0.006440679569648508,0.0661470830114864
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.021336034856108774,0.08543517833197659,0.027735916228423422,0.05691661113927006
"Servicios profesionales, científicos y técnicos",0.0439885271516192,0.04673871638410392,0.01591695478159658,0.04400744420851262
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.2759109012513109,0.012636052980883723,0.03171707246442011,0.11001075673496571
Servicios educativos,0.11377013955961619,0.8761909593297625,0.03858580881430748,0.20410987318358786
Servicios de salud y de asistencia social,0.04452815918809415,0.21140066371657537,0.1004177211445203,0.0706914524378188
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.040087255197567465,0.25084743500955403,-0.2536378599832234,0.13771713762767693
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.055706666004705196,0.11043092118986546,0.05728961546202813,0.0375042277740314
Otros servicios excepto actividades gubernamentales,0.0969615957006237,0.11004080913222448,0.2812322407917792,0.2981544602764988
Total,0.726343184237632,-0.004600029521203105,0.1541512905764872,0.07523181935700057
