Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.05821242052786323,0.033899179574946765,0.052904372276083515,0.06113890546108471
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,0.019106726380343633
Construcción,0.1280411483434541,0.05710593101160831,0.07173738801979515,0.03965186856550261
Industrias manufactureras,0.07825222624017748,0.05720912896925642,0.04893515329378441,0.042131810455584354
Comercio al por mayor,0.0752066798115125,0.05919032204040844,0.0470058309379959,0.0500554192704919
Comercio al por menor,0.11024365212921307,0.10413675928225143,0.11195637696084498,0.10895847195851499
"Transportes, correos y almacenamiento",0.10842803125369603,0.2005486889733247,0.12453648755989025,0.13214845647953186
Información en medios masivos,0.05676176860539947,0.26420357224033986,0.04883035217541224,
Servicios financieros y de seguros,0.005988965732098156,0.005874531171869606,0.010784102898718555,0.009436306152444746
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.12418075844647466,0.08209450935488398,0.024536986788447398,0.030476768311390876
"Servicios profesionales, científicos y técnicos",0.07783744159643194,0.16518670780771955,0.02715335432877264,0.04610091514132839
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0605555443438387,0.05968977237905517,0.03914935153702381,0.0757694822710801
Servicios educativos,0.04639126727667731,0.0658491289185129,0.09071733393553838,0.0670657691363885
Servicios de salud y de asistencia social,0.08550207591624127,0.05827238422895335,0.05945177538266988,0.08739399268425671
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.020493625916256104,0.04750446802385365,0.010667642780598851,0.021457203204459038
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.08041920040054477,0.07995200441969114,0.06600862770610694,0.0854394070915177
Otros servicios excepto actividades gubernamentales,0.15406393726267473,0.10402782358496097,0.10967510700220862,0.09725162814819145
Total,0.07996467870960676,0.051561090216760384,0.04609464211310442,0.04362225875822744
