Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.02603940630153632,0.10305431524222795,0.049811794228356326,0.2960975609756098
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,-0.07587422776547383,0.03344145203033351,-0.015113293894407858,-0.2003655193420652
Industrias manufactureras,0.009275961965201165,0.007240690988525372,0.004268606857373441,0.011244547330761015
Comercio al por mayor,0.09320202223218566,0.17375765263912638,0.13942503420978417,0.31775909059851554
Comercio al por menor,0.11833567381724855,-0.016902307664102115,0.0818137961403029,0.15081292323483858
"Transportes, correos y almacenamiento",0.15810163325692822,0.2157277140280883,0.038439137363708284,0.24070222194767163
Información en medios masivos,0.5820247672039734,5.264984227129338,0.014737769231545014,0.14324361502132146
Servicios financieros y de seguros,0.03462668109445046,0.04845863827899756,0.07761236487767875,0.3942653716673761
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.07206894439112055,0.2270707711837512,-0.015087840165346193,0.030195988088838836
"Servicios profesionales, científicos y técnicos",0.12689015886904925,0.09946687303839373,0.04740270276535083,0.12657811678064176
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.09901501959077055,0.04001423029358451,0.16057405000722005,0.04976109924026591
Servicios educativos,0.2592060386766157,0.1758231981940238,-0.12677957175068716,0.04103707602177195
Servicios de salud y de asistencia social,0.04064713337806606,0.09171748796051701,0.0662366680049575,0.0475916441272947
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.004129160128829788,0.0798999254764186,0.04957828336522787,0.2362047099196777
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.1529315196998124,0.12218015868900067,0.09092895010256548,0.22214305041941013
Otros servicios excepto actividades gubernamentales,0.10283377154542797,0.15278958897049347,0.15494576539041735,0.2025474832834229
Total,0.03801425042769383,0.4803486844855314,0.030795495668185558,0.11568200731492616
