Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.04960954923812572,0.050063268102561814,0.09257948923386694,0.20821358407488108
Industrias manufactureras,0.01483048109899685,0.027499755772554802,0.03176358975458093,0.060346652975728596
Comercio al por mayor,0.10720419796366848,0.09845262054715975,0.09208034703254793,0.08908922104624017
Comercio al por menor,0.13202877458408752,0.118838260022891,0.11333682498546307,0.12097348913747687
"Transportes, correos y almacenamiento",0.4845712413590561,0.36796951710731013,0.341028464793496,0.2726998809418617
Información en medios masivos,0.0,0.13213051744612042,0.0,0.11991657927465824
Servicios financieros y de seguros,0.10541060109055307,0.10251249340180656,0.08718431790563867,0.09497055516570445
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.17078043663556763,0.15578628061639663,0.04676917710664767,0.1321092234760872
"Servicios profesionales, científicos y técnicos",0.05812465104923101,0.04712567053880685,0.0755278635412835,0.08045782860142431
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.07918778056010148,0.0615511595684989,0.0937579426679687,0.07210886128796577
Servicios educativos,0.09061927855655406,0.09451072070724938,0.04911529458643126,0.06877517644675647
Servicios de salud y de asistencia social,0.11745766197858026,0.12100261323547416,0.0965090113885854,0.09712911613257728
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0481123595505618,0.535692810089522,0.07814859443876696,0.08835708122051841
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.12066361471932505,0.13561156440215655,0.1357187186496165,0.12523418155743793
Otros servicios excepto actividades gubernamentales,0.07346485667991054,0.1175548096532971,0.13153984592223536,0.12702919580487945
Total,0.0369909449192171,0.05659441024883058,0.05858056129205199,0.08873113997471442
