Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.03539245699733947,0.0286522750114038,0.015916908961981627,0.00645591306774979
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.010088862964235522,0.011216804098492687,0.0,0.0025727926739022755
Industrias manufactureras,0.007640561807691446,0.007385430397920573,0.008472808581215713,0.00618501712383373
Comercio al por mayor,0.06529229373776631,0.07934045940463337,0.06304763024797472,0.07513466123372328
Comercio al por menor,0.05089022397498023,0.04081479352753068,0.04060541797848451,0.03884157103868876
"Transportes, correos y almacenamiento",0.007821700767780491,0.014790560182308551,0.012086330523095884,0.01261567754809501
Información en medios masivos,0.0037140872310374145,0.0009221776766137413,0.00793722501271998,0.011701873844287239
Servicios financieros y de seguros,0.08734719996172524,0.017403184763042777,0.03325899906126845,0.049294630199509006
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.004368001905249901,0.009614953606167915,0.008895882009914763,0.00877697651131294
"Servicios profesionales, científicos y técnicos",0.010883622234121175,0.02450946926857354,0.01853781550889439,0.020376712328767123
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0038849255660898707,-0.00026295993192542106,0.02816792879381534,0.014720703781796225
Servicios educativos,0.01756039864709361,0.035784022311626515,0.10284251147122746,0.01631229844836066
Servicios de salud y de asistencia social,0.023796234657983594,0.02588439005242325,0.02106144930258111,0.02616779935684853
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.03221813394456435,0.015339218275401429,0.009784697263543946,0.01628519377430324
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.04374334061942072,0.03682251763727646,0.03430041720592204,0.03806879915041592
Otros servicios excepto actividades gubernamentales,0.08620365528648455,0.04056963808122671,0.038747258407962705,0.037816283801199356
Total,0.01319448784870189,0.01996906066451033,0.02293971332827472,0.020128472329242145
