Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.030900095477823103,0.7369138209336938,0.0017565872020075283,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.14374344329175892,0.05556999649650215,0.11108382631990177,0.05375164991369682
Industrias manufactureras,0.20692656879566948,0.17148103045672533,0.06915880817795443,0.1407000329982372
Comercio al por mayor,0.2233082358034044,0.12561910539959187,0.26603854540107474,0.11794812747209366
Comercio al por menor,0.17960109959286755,0.3157554855282995,0.14225613388058217,0.1443927068105249
"Transportes, correos y almacenamiento",0.11269906897736952,0.01930071600027998,0.045988924685568845,0.08638283039098454
Información en medios masivos,0.011911371550303857,-0.29526813880126185,0.025665031751421166,0.2450823054702187
Servicios financieros y de seguros,0.01885917452465605,0.2866489243734752,0.18006827233074152,0.05040049529853345
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.04825698940102518,0.186091716915265,0.08720863474566541,0.20277130741205282
"Servicios profesionales, científicos y técnicos",0.039320773290312,0.28217034266305513,0.05767135671403074,0.1876643871646502
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.623476273400087,0.062494705991970045,0.10659024514867761,0.20687915479582147
Servicios educativos,0.03143989889371721,0.3784691460535046,0.13752695073980808,0.012908050912011967
Servicios de salud y de asistencia social,0.17784239170953553,0.31430931959256,0.2368949325326863,0.14615104256584374
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.09282351969609383,0.018897050995422122,0.023283010844142037,0.1608932434784771
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16118667917448407,0.22918287265121265,0.21290460079388338,0.15208803102732932
Otros servicios excepto actividades gubernamentales,0.15455403492213307,0.19025898724391185,0.2721308335129181,0.08638265578208967
Total,0.05198020666572282,-0.5696010445794291,0.09819664477195438,0.11934001694979042
