Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.000809663163487075,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.30105216164468857,0.21971965834141602,0.23777015170035193,0.16855203317687273
Industrias manufactureras,0.3260013922433608,0.22867347751131145,0.21379619555210516,0.2821798139526244
Comercio al por mayor,0.22554654986621164,0.23100767994755056,0.22439284414661503,0.21636757195794878
Comercio al por menor,0.23636062564779609,0.23257677721542633,0.26407171742734514,0.25717869292020107
"Transportes, correos y almacenamiento",0.14835039671951078,0.12705549207506403,0.11515858257125691,0.17723085167031954
Información en medios masivos,0.11061351052383657,0.26400457394921284,0.6512209203070485,0.3508949030332216
Servicios financieros y de seguros,0.19798398781015883,0.18784561874922587,0.2056917659189612,0.1951824880723431
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.26247167730272775,0.4103318743979851,0.2438747783821103,0.1718202063761193
"Servicios profesionales, científicos y técnicos",0.3905545403586679,0.5955435770538695,0.2642905643470833,0.3278754909002002
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.4148364673599408,0.35718882800470675,0.2520793634278889,0.3051661548508453
Servicios educativos,0.19291804680865937,0.1689510174206198,0.17401775049557305,0.2524272916907469
Servicios de salud y de asistencia social,0.29154087216640884,0.23692341586930848,0.2280716298061145,0.25874940265213914
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.12420041739484533,0.0917125649815317,0.11248606571414463,0.140499510594014
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.2600843501198089,0.25270981345177707,0.20316710190569828,0.2217961488869615
Otros servicios excepto actividades gubernamentales,0.24939499240672386,0.2240324031235597,0.3134455347311571,0.27010856519375964
Total,0.24451872081755682,0.22658851414088316,0.21939037645350778,0.2553671149904174
