Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.20449613748806528,0.01865710751944322,0.0025094102885821834,0.6736585365853659
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,-0.006027458421698851,0.016448370392933294
Industrias manufactureras,0.0007534272904224574,0.0005310467773118739,0.0008256917211651133,0.0003806375606776796
Comercio al por mayor,0.03793076792257386,0.0016546246759693345,0.004392678941587137,0.01027935449095432
Comercio al por menor,0.02621310944152453,-0.0012284247390334368,0.013919677061087576,-0.007155757769882736
"Transportes, correos y almacenamiento",0.0007265719679852891,6.175965612223471e-06,0.0014606574104860067,0.0
Información en medios masivos,0.0006743993771989645,0.003154574132492114,0.0,0.0
Servicios financieros y de seguros,0.0,0.009980039920159679,0.005357481509577091,0.10556049994195721
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.0047991504482610735,0.0018644874642970487,0.005695257779308761,-0.00513647494475303
"Servicios profesionales, científicos y técnicos",0.013261874162587842,0.004922825572896514,0.015020514128091605,-0.30451078379800106
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.0029930343926861122,0.004235206423961103,0.00041098781476668107,0.0
Servicios educativos,0.0003635671127577431,0.00017792868766472304,0.0,0.00013849840034347604
Servicios de salud y de asistencia social,0.025885335122642215,0.006772548891715313,0.016216593642536702,0.06472796097012014
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.0,0.027946343021398912,0.009320292012190801,-0.053875612364160844
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.06085834896810507,0.0046068212069352975,-0.0014598929056664086,-0.014954451159015066
Otros servicios excepto actividades gubernamentales,0.0166632958044001,0.019147017136966885,0.0035517882655300946,-0.1292406776879846
Total,0.002547677547544861,0.009758281504035977,0.002745141076354511,-0.0004771520604208342
