Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",10086.85,12724.658,19894.369,44577.115
Minería,1058626.665,1005521.542,944384.552,1103666.655
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",263203.801,258526.283,217343.773,354867.961
Construcción,121716.597,107644.568,185179.21,322190.567
Industrias manufactureras,1483368.978,1736105.799,3193797.387,5390947.292
Comercio al por mayor,287796.159,384916.59,877495.018,1595782.093
Comercio al por menor,340663.836,544353.411,1255312.841,2099084.571
"Transportes, correos y almacenamiento",185528.43,192505.073,356582.201,571858.648
Información en medios masivos,172553.33,163500.113,196268.581,269811.145
Servicios financieros y de seguros,591609.564,569012.907,862021.021,1479364.8
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,40001.93,40279.006,112452.294,132283.822
"Servicios profesionales, científicos y técnicos",95039.658,78995.866,182806.471,192426.559
Dirección y administración de grupos empresariales o corporativos,190368.711,257016.377,401484.624,574207.615
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",169624.736,239363.327,465586.845,271066.134
Servicios educativos,71321.676,86259.619,136594.103,193144.475
Servicios de salud y de asistencia social,36459.897,49747.526,83652.614,182868.432
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",22727.957,26821.765,51657.051,89383.359
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,110139.073,135240.956,300821.107,571064.96
Otros servicios excepto actividades gubernamentales,72661.856,96051.005,140466.196,229393.789
Total,5323499.704,5984586.391,9983800.258,15667989.992000002
