Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.19,0.21,0.2,0.28
Minería,19.89,16.8,9.46,7.04
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",4.94,4.32,2.18,2.26
Construcción,2.29,1.8,1.85,2.06
Industrias manufactureras,27.86,29.01,31.99,34.41
Comercio al por mayor,5.41,6.43,8.79,10.18
Comercio al por menor,6.4,9.1,12.57,13.4
"Transportes, correos y almacenamiento",3.49,3.22,3.57,3.65
Información en medios masivos,3.24,2.73,1.97,1.72
Servicios financieros y de seguros,11.11,9.51,8.63,9.44
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.75,0.67,1.13,0.84
"Servicios profesionales, científicos y técnicos",1.79,1.32,1.83,1.23
Dirección y administración de grupos empresariales o corporativos,3.58,4.29,4.02,3.66
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.19,4.0,4.66,1.73
Servicios educativos,1.34,1.44,1.37,1.23
Servicios de salud y de asistencia social,0.68,0.83,0.84,1.17
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.43,0.45,0.52,0.57
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.07,2.26,3.01,3.64
Otros servicios excepto actividades gubernamentales,1.36,1.6,1.41,1.46
Total,100.0,100.0,100.0,100.0
