Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",180083,188566,233554,242812
Minería,142325,166548,190685,166978
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",235688,220929,216300,231195
Construcción,704640,569856,676301,711553
Industrias manufactureras,4661062,5073432,6493020,7190294
Comercio al por mayor,1107295,1286393,1582933,1804075
Comercio al por menor,5027463,5103255,5899054,6840541
"Transportes, correos y almacenamiento",718062,772333,997000,1273482
Información en medios masivos,293550,287617,363805,307724
Servicios financieros y de seguros,480557,478776,662239,647493
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,234548,251970,327129,332650
"Servicios profesionales, científicos y técnicos",570637,606396,848651,680712
Dirección y administración de grupos empresariales o corporativos,26310,42758,138987,124595
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1365509,1714385,2407276,796375
Servicios educativos,632422,759871,817536,776869
Servicios de salud y de asistencia social,584046,614147,763881,871560
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",196793,231579,267775,269706
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1743482,1943437,2668898,3016803
Otros servicios excepto actividades gubernamentales,1212362,1264110,1577903,1680016
Total,20116834,21576358,27132927,27965433
