Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.3,4.916,0.3969999999999999,1.214
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,-21.054,-2.382,-1.596,-10.153
Industrias manufactureras,19.948,67.74599999999998,52.233,56.208
Comercio al por mayor,38.352,85.54899999999999,177.241,-87.43299999999999
Comercio al por menor,194.157,249.707,130.807,295.496
"Transportes, correos y almacenamiento",224.982,530.174,24.906,825.07
Información en medios masivos,373.946,16.249000000000002,8.655,3.148
Servicios financieros y de seguros,0.653,0.463,1.581,20.37
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.477,11.549,-0.6809999999999999,3.564
"Servicios profesionales, científicos y técnicos",8.808,4.638999999999999,1.917,1.902
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.631,2.6990000000000003,11.731,6.803999999999999
Servicios educativos,29.963,47.46,-7.684,6.113
Servicios de salud y de asistencia social,2.619,9.328,7.995,7.622
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.059,3.146,1.553,18.985
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,13.442,14.399,21.176,24.829
Otros servicios excepto actividades gubernamentales,9.327,19.125,20.001,20.095
Total,902.61,1064.7669999999998,450.232,1193.8339999999998
