Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.04,0.56,0.07,0.08
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,-3.11,0.34,-0.12,-0.67
Industrias manufactureras,3.17,3.96,9.18,4.2
Comercio al por mayor,3.6,7.21,44.9,16.95
Comercio al por menor,15.16,13.46,28.85,16.62
"Transportes, correos y almacenamiento",26.51,59.99,5.92,55.23
Información en medios masivos,46.03,1.91,1.55,0.21
Servicios financieros y de seguros,0.08,0.05,0.29,1.38
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.42,1.31,-0.23,0.24
"Servicios profesionales, científicos y técnicos",1.11,0.53,0.36,0.13
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.43,0.27,2.55,0.45
Servicios educativos,3.57,5.43,-1.36,0.4
Servicios de salud y de asistencia social,0.33,0.97,1.34,0.5
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.01,0.34,0.25,1.28
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.56,1.62,3.02,1.66
Otros servicios excepto actividades gubernamentales,1.09,2.04,3.43,1.33
Total,100.0,100.0,100.0,100.0
