Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.98,1.12,1.0,0.63
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,9.15,6.73,3.91,2.92
Industrias manufactureras,14.59,15.58,18.09,14.32
Comercio al por mayor,5.82,7.06,5.77,6.48
Comercio al por menor,29.11,28.84,29.66,32.06
"Transportes, correos y almacenamiento",5.82,7.72,6.93,5.72
Información en medios masivos,4.48,2.27,1.09,1.07
Servicios financieros y de seguros,0.46,0.58,0.97,1.03
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.33,1.04,0.86,1.25
"Servicios profesionales, científicos y técnicos",3.13,2.37,1.94,2.2
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.46,4.09,2.81,1.8
Servicios educativos,2.44,3.74,4.29,3.91
Servicios de salud y de asistencia social,2.96,2.64,3.02,3.67
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.82,0.72,0.83,1.27
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8.4,8.57,10.09,12.97
Otros servicios excepto actividades gubernamentales,8.05,6.93,8.74,8.69
Total,100.0,100.0,100.0,100.0
