Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,250.092,188.95,590.007,1049.273
Industrias manufactureras,4857.748,5001.958,11989.37,25493.168
Comercio al por mayor,927.148,960.145,2503.445,2952.605
Comercio al por menor,1574.124,1945.09,4953.597,8235.235
"Transportes, correos y almacenamiento",2897.493,2845.113,4525.023,10654.298
Información en medios masivos,0.0,165.265,0.0,310.758
Servicios financieros y de seguros,22.096,51.674,140.736,221.898
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,134.257,102.159,167.349,406.284
"Servicios profesionales, científicos y técnicos",201.925,132.488,218.736,292.895
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",372.396,509.511,675.536,363.151
Servicios educativos,168.269,448.12,300.13,480.093
Servicios de salud y de asistencia social,117.049,197.069,274.062,703.98
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",25.053,157.494,52.729,114.606
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,446.153,514.355,881.239,1815.012
Otros servicios excepto actividades gubernamentales,217.145,381.357,722.433,1029.381
Total,12210.948,13600.748,27994.392000000003,54122.637
