Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.28,0.16,0.12,0.09
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,3.9,1.11,0.0,0.43
Industrias manufactureras,52.31,62.57,48.39,39.45
Comercio al por mayor,11.51,7.08,8.06,13.44
Comercio al por menor,13.77,9.07,12.59,17.82
"Transportes, correos y almacenamiento",4.25,9.31,5.44,7.24
Información en medios masivos,0.79,0.03,0.52,0.46
Servicios financieros y de seguros,0.48,0.27,1.28,0.94
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.29,0.15,0.17,0.4
"Servicios profesionales, científicos y técnicos",0.51,0.38,0.35,0.53
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.58,1.08,3.84,0.54
Servicios educativos,0.39,0.69,8.74,0.9
Servicios de salud y de asistencia social,0.69,0.56,0.95,1.46
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.29,0.14,0.11,0.27
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.69,4.83,5.65,12.49
Otros servicios excepto actividades gubernamentales,3.28,2.57,3.79,3.53
Total,100.0,100.0,100.0,100.0
