Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",18.012,7.726,13.872,10.732
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,45.454,35.445,0.0,14.762
Industrias manufactureras,447.789,507.7579999999999,993.645,1258.7340000000002
Comercio al por mayor,497.55,730.2529999999999,1457.1260000000002,2365.833
Comercio al por menor,642.679,738.954,1669.312,2500.314
"Transportes, correos y almacenamiento",67.511,157.248,202.53,382.155
Información en medios masivos,16.932,1.324,36.457,30.458
Servicios financieros y de seguros,29.211,15.846,30.753,85.539
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,4.842,8.151,13.699,24.516
"Servicios profesionales, científicos y técnicos",29.615,29.798,41.504,56.644
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",15.494000000000002,-1.0339999999999998,199.592,59.972
Servicios educativos,30.139,120.146,400.366,80.362
Servicios de salud y de asistencia social,25.666,35.279,47.99699999999999,137.432
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",12.285,7.969,5.464,17.619
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,146.81,131.879,218.066,538.6370000000001
Otros servicios excepto actividades gubernamentales,109.134,123.43,179.47299999999998,284.777
Total,2139.123,2650.172,5509.856,7848.486
