Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.1,0.77,0.19,0.53
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,3.58,2.15,0.0,0.36
Industrias manufactureras,32.49,33.1,22.87,20.31
Comercio al por mayor,13.14,10.66,11.7,14.56
Comercio al por menor,21.41,24.19,32.31,26.18
"Transportes, correos y almacenamiento",9.46,8.26,5.78,17.04
Información en medios masivos,1.64,0.22,0.13,0.22
Servicios financieros y de seguros,0.16,0.36,0.21,0.25
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.9,1.26,0.97,1.46
"Servicios profesionales, científicos y técnicos",0.74,0.83,0.57,0.85
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.6,0.84,1.13,0.37
Servicios educativos,1.01,2.89,13.09,1.56
Servicios de salud y de asistencia social,1.04,1.7,1.9,2.64
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.82,0.3,0.23,0.83
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.43,5.22,4.02,8.1
Otros servicios excepto actividades gubernamentales,7.47,7.27,4.91,4.74
Total,100.0,100.0,100.0,100.0
