Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",212.804,151.666,198.889,368.571
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2638.352,1087.309,1366.597,2006.778
Industrias manufactureras,21657.729,24109.505,48018.361,62711.848
Comercio al por mayor,1574.327,1500.35,2620.567,6263.472
Comercio al por menor,3284.2070000000003,4251.107,10037.036,15906.051
"Transportes, correos y almacenamiento",1164.37,1825.407,5560.904,5870.635
Información en medios masivos,458.998,297.434,403.636,560.1030000000001
Servicios financieros y de seguros,139.367,155.784,542.2760000000001,711.199
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,678.374,193.562,475.213,865.311
"Servicios profesionales, científicos y técnicos",386.087,224.058,413.968,482.523
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",786.832,761.879,1258.5590000000002,1667.569
Servicios educativos,259.889,885.729,882.969,995.598
Servicios de salud y de asistencia social,426.511,556.8860000000001,904.989,1634.62
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",111.391,92.844,91.216,284.197
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1293.0449999999998,1438.34,2783.022,5807.244
Otros servicios excepto actividades gubernamentales,692.197,1426.4229999999998,1386.802,2482.239
Total,35764.48,38958.283,76945.00399999999,108617.958
