Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.02,-4.02,0.0,0.0
Minería,0.0,-0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,-0.0,0.0,0.0
Construcción,3.79,-0.23,0.29,0.19
Industrias manufactureras,57.91,-91.78,47.28,48.35
Comercio al por mayor,7.03,-7.02,24.54,-1.8
Comercio al por menor,16.04,231.63,18.15,28.18
"Transportes, correos y almacenamiento",10.15,-5.29,2.13,17.29
Información en medios masivos,0.53,0.26,0.83,0.33
Servicios financieros y de seguros,0.08,-0.11,0.13,0.12
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.06,-1.14,0.39,1.41
"Servicios profesionales, científicos y técnicos",0.18,-1.09,0.14,0.17
Dirección y administración de grupos empresariales o corporativos,0.0,-0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.45,-0.43,0.54,1.51
Servicios educativos,0.24,-11.67,0.43,0.27
Servicios de salud y de asistencia social,0.79,-3.43,1.46,1.23
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.07,-0.1,0.03,0.76
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.87,-3.0,2.26,0.96
Otros servicios excepto actividades gubernamentales,0.78,-2.58,1.41,1.01
Total,100.0,100.0,100.0,100.0
