Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,4.14,2.21,2.25,1.42
Industrias manufactureras,75.88,70.65,62.94,65.56
Comercio al por mayor,2.73,3.77,5.25,4.91
Comercio al por menor,5.02,7.39,12.21,11.9
"Transportes, correos y almacenamiento",2.22,3.42,3.02,5.26
Información en medios masivos,1.31,0.81,4.06,0.9
Servicios financieros y de seguros,0.12,0.28,0.47,0.4
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.74,0.94,0.55,0.4
"Servicios profesionales, científicos y técnicos",1.7,2.54,0.75,0.78
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.14,2.46,2.11,1.03
Servicios educativos,0.47,0.9,0.83,0.91
Servicios de salud y de asistencia social,0.58,0.7,0.85,1.24
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.08,0.1,0.09,0.13
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.91,2.47,2.44,3.34
Otros servicios excepto actividades gubernamentales,0.95,1.37,2.17,1.83
Total,100.0,100.0,100.0,100.0
