Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.01,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2.94,1.55,1.38,1.32
Industrias manufactureras,53.85,52.89,58.75,57.52
Comercio al por mayor,3.33,3.67,2.92,3.53
Comercio al por menor,15.81,16.59,14.14,15.99
"Transportes, correos y almacenamiento",1.65,2.86,3.11,3.95
Información en medios masivos,0.73,0.48,1.34,1.04
Servicios financieros y de seguros,0.35,0.41,0.54,0.37
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.3,1.28,0.7,0.79
"Servicios profesionales, científicos y técnicos",1.84,1.4,0.9,0.82
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4.34,4.63,3.18,1.46
Servicios educativos,1.67,2.26,2.08,1.72
Servicios de salud y de asistencia social,2.01,1.86,1.75,1.91
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.25,0.29,0.27,0.3
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.1,4.92,4.23,5.02
Otros servicios excepto actividades gubernamentales,4.81,4.9,4.7,4.27
Total,100.0,100.0,100.0,100.0
