Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",16.972,15.386,23.291,28.997
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,29.947000000000003,28.036
Industrias manufactureras,80.119,254.986,173.44299999999998,306.343
Comercio al por mayor,42.02,19.223,117.323,99.65
Comercio al por menor,140.518,137.642,251.388,623.81
"Transportes, correos y almacenamiento",21.733,31.466,77.00800000000001,126.436
Información en medios masivos,4.777,2.286,0.0,0.0
Servicios financieros y de seguros,6.840000000000001,11.062,45.329,56.793
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,26.567,7.063,4.567,7.920999999999999
"Servicios profesionales, científicos y técnicos",7.692,7.316,12.044,16.394
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.927,2.148,5.398,1.749
Servicios educativos,6.157,1.646,4.655,2.261
Servicios de salud y de asistencia social,18.575,24.177,31.68,41.348
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2.526,2.03,2.472,4.326
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,66.33200000000001,90.89,164.973,265.113
Otros servicios excepto actividades gubernamentales,58.831,74.937,72.4,78.856
Total,500.586,682.2579999999999,1015.918,1688.033
