Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",6.17,2.18,1.44,1.19
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,0.55,0.28
Industrias manufactureras,17.72,13.61,11.86,7.0
Comercio al por mayor,10.06,7.4,10.45,13.18
Comercio al por menor,30.18,45.43,51.62,52.72
"Transportes, correos y almacenamiento",11.13,5.7,4.06,4.71
Información en medios masivos,0.25,0.39,0.0,0.0
Servicios financieros y de seguros,0.59,1.7,1.54,2.68
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.69,1.53,0.66,0.46
"Servicios profesionales, científicos y técnicos",2.04,1.18,1.21,1.6
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.15,0.53,0.22,0.04
Servicios educativos,0.69,0.77,1.18,0.35
Servicios de salud y de asistencia social,3.39,2.9,2.54,2.67
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.38,0.38,0.18,0.22
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.64,7.27,7.26,8.11
Otros servicios excepto actividades gubernamentales,5.92,9.01,5.25,4.79
Total,100.0,100.0,100.0,100.0
