Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",535.113,245.99,1334.159,2277.344
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,5819.587
Construcción,3834.829,3548.298,3407.963,5599.42
Industrias manufactureras,124263.357,168049.122,215329.953,195409.43
Comercio al por mayor,4155.435,4804.110000000001,11303.283,13159.868
Comercio al por menor,6285.09,8870.116,15163.38,20384.279
"Transportes, correos y almacenamiento",4117.014,5776.762,10152.734,17168.808
Información en medios masivos,4922.968,76.61,1247.3180000000002,0.0
Servicios financieros y de seguros,168.943,671.613,928.934,1206.289
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,810.6310000000001,537.223,1295.001,1687.407
"Servicios profesionales, científicos y técnicos",1610.376,770.378,1515.461,1327.1729999999998
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1585.349,1940.682,4596.861,1476.404
Servicios educativos,1233.0549999999998,1805.395,2150.1220000000003,2465.96
Servicios de salud y de asistencia social,528.128,788.84,1642.594,2639.2200000000003
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",288.854,259.099,533.6469999999999,761.5609999999999
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2082.086,2387.124,4811.002,7289.548999999999
Otros servicios excepto actividades gubernamentales,984.273,1269.381,2119.834,3066.106
Total,157405.501,201800.743,277532.2459999999,281738.405
