Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.21,0.13,0.32,0.42
Minería,11.4,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",6.22,0.79,0.97,1.72
Construcción,3.37,2.28,2.08,2.15
Industrias manufactureras,56.91,70.0,64.58,59.33
Comercio al por mayor,2.96,3.7,5.13,5.79
Comercio al por menor,5.2,7.2,10.15,11.81
"Transportes, correos y almacenamiento",3.67,6.09,5.75,7.57
Información en medios masivos,2.89,0.69,1.37,0.66
Servicios financieros y de seguros,0.15,0.34,0.5,0.52
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.69,0.52,0.49,0.59
"Servicios profesionales, científicos y técnicos",1.07,0.97,0.63,0.6
Dirección y administración de grupos empresariales o corporativos,0.05,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.26,1.56,1.84,0.86
Servicios educativos,0.59,1.21,1.05,0.92
Servicios de salud y de asistencia social,0.49,0.67,0.82,1.23
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.16,0.25,0.17,0.24
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.8,2.22,2.64,3.84
Otros servicios excepto actividades gubernamentales,0.93,1.38,1.52,1.73
Total,100.0,100.0,100.0,100.0
