Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",508.922,269.647,871.526,1662.352
Minería,35957.217,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",13060.265,2386.391,2500.442,5928.971
Construcción,4505.364,3159.991,4460.793,5737.734
Industrias manufactureras,58606.816,68751.308,117274.572,203513.422
Comercio al por mayor,7620.348,9204.043,23111.511,31487.904
Comercio al por menor,12628.732,18105.053,41110.573,64372.113
"Transportes, correos y almacenamiento",8631.243,10631.646,16756.947,30292.071
Información en medios masivos,4558.859,1435.732,4593.167,2602.831
Servicios financieros y de seguros,334.424,910.523,924.652,1735.26
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1108.516,847.742,1539.926,2793.217
"Servicios profesionales, científicos y técnicos",2721.061,1215.775,2238.883,2779.84
Dirección y administración de grupos empresariales o corporativos,94.114,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3988.236,3932.158,7085.789,4073.99
Servicios educativos,1716.305,3357.532,3893.001,4926.467
Servicios de salud y de asistencia social,1078.574,1362.945,2278.903,5251.951
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",381.307,519.518,558.423,1081.903
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3356.168,3581.477,6357.532,14149.041
Otros servicios excepto actividades gubernamentales,1266.002,3042.423,4631.889,7530.539
Total,162122.473,132713.904,240188.529,389919.606
