Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",646.144,657.083,756.987,1247.658
Minería,20417.836,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",69076.854,5167.394,7079.6,23389.633
Construcción,3909.787,3470.158,3302.296,5334.157
Industrias manufactureras,54800.88,97495.394,95927.72,109687.173
Comercio al por mayor,5593.569,7075.31,13418.205,12899.327
Comercio al por menor,13006.105,17263.234,34237.037,33272.564
"Transportes, correos y almacenamiento",14292.584,28128.609,31769.652,45604.882
Información en medios masivos,7000.062,808.92,1842.055,826.098
Servicios financieros y de seguros,157.138,188.525,438.589,932.395
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1227.78,1645.143,3162.69,2831.51
"Servicios profesionales, científicos y técnicos",1474.128,1590.364,1383.162,1313.017
Dirección y administración de grupos empresariales o corporativos,10.063,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",684.679,2745.437,2086.221,2387.833
Servicios educativos,1911.295,2872.49,3594.093,5077.955
Servicios de salud y de asistencia social,1463.946,1817.903,2968.356,3650.653
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",744.729,733.082,1475.02,1943.34
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4246.173,4082.192,6432.823,8785.752
Otros servicios excepto actividades gubernamentales,2937.489,2953.122,4421.209,4714.819
Total,203601.241,178694.36000000002,214295.715,263898.766
