Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.050454006949642353,0.02119090351976454,0.043807672412228806,0.03729160130708325
Minería,0.033965909029884486,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0496203510374077,0.009230748117010603,0.011504548602825626,0.016707540977473588
Construcción,0.03701519851068462,0.029355786907891163,0.024089059457592456,0.017808510203838467
Industrias manufactureras,0.03950926362166379,0.03960087457780561,0.03671947772183458,0.03775095748051695
Comercio al por mayor,0.026478282498551345,0.023911785667642953,0.02633805380761717,0.019731957225315223
Comercio al por menor,0.037070949908519196,0.03325974015068678,0.032749265089370656,0.030666755351040118
"Transportes, correos y almacenamiento",0.0465224817565696,0.05522787443632719,0.046993223310100106,0.052971256281499825
Información en medios masivos,0.026420000124019634,0.008781229405021879,0.02340245686088697,0.009646862437798854
Servicios financieros y de seguros,0.0005652782178484187,0.001600179870788063,0.0010726559764486301,0.001172976401763784
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.027711562917089254,0.02104674579109524,0.013694038113619985,0.021115333362533177
"Servicios profesionales, científicos y técnicos",0.028630795367550674,0.01539036232604881,0.012247285272521889,0.014446238681636457
Dirección y administración de grupos empresariales o corporativos,0.0004943774610103863,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.02351211323329635,0.016427570794919643,0.015219048983224601,0.015029505677754637
Servicios educativos,0.024064283065922343,0.03892356630974686,0.028500505618459973,0.025506642113371347
Servicios de salud y de asistencia social,0.02958247523299367,0.027397241824648727,0.02724246011009291,0.0287198339405021
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.01677700287799735,0.019369269695711674,0.010810198979419093,0.012104076330360331
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.030472092315503692,0.026482192273174998,0.021133929275780505,0.024776587588214133
Otros servicios excepto actividades gubernamentales,0.017423199319323745,0.03167507721548567,0.03297511523697844,0.03282799866913572
Total,0.03045411515251584,0.022175952577037503,0.024057825957359013,0.02488638339691888
