Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.106238546864563,0.1348833548472474,0.642525799073394,0.7987909340141022
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.263569807408747,0.15010529638176115,0.18477379273021344,0.15917725244678244
Industrias manufactureras,1.7034404412298452,1.8499021071153536,2.1300693214373085,3.59497755867133
Comercio al por mayor,0.2205584715442201,0.14951098480249359,0.2080921577439307,0.14366799821277637
Comercio al por menor,0.2763146552110477,0.2477317968110872,0.2557932766119438,0.24133963000080066
"Transportes, correos y almacenamiento",0.46247570702618407,0.6122207952690463,0.5003122427981905,1.1353448972657971
Información en medios masivos,0.05214855016982547,0.033276564668964975,0.4265480671751903,0.09767817865804984
Servicios financieros y de seguros,0.003786228498983224,0.029048219157253172,0.00731165633821462,0.009504464221655812
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.6427584298334461,0.20724104316717343,0.36610773153045617,0.3121808737132382
"Servicios profesionales, científicos y técnicos",0.46858863490633584,0.14912545134771624,0.13018943676608571,0.11273752038617704
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.7519193042507327,0.17324133581986426,0.2352369513047752,0.16526018627479497
Servicios educativos,0.2933584963843609,0.3774695191167927,0.23618773867978404,0.22397307611829845
Servicios de salud y de asistencia social,0.35322191320754615,0.3462880569654264,0.2861227950607018,0.30429087417570927
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.08751284044323551,0.12942525632196814,0.08703630071057554,0.08585257381335178
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.3112458149507704,0.23966342518384018,0.21723324611726252,0.21790624596014674
Otros servicios excepto actividades gubernamentales,-0.4746472108939241,0.39127780102223536,0.47651561493622335,0.3393259454111984
Total,0.5632143591021002,0.32055085766844044,0.37929523404417864,0.44701425115025706
