Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.6660639904451126,0.4778993113488753,0.23257479780766077,0.07087222628629032
Industrias manufactureras,3.495669941269286,1.4827960051340614,1.0446337231766298,0.4234535699598924
Comercio al por mayor,0.23228164598876216,0.20916359224924244,0.18333738497872898,0.18569605782952567
Comercio al por menor,0.2558122952279519,0.269963547953503,0.29039679416413156,0.2410373144685284
"Transportes, correos y almacenamiento",0.05570683827111898,0.11610118989707856,0.10791392998326124,0.15851542021765244
Información en medios masivos,,0.025333053596230976,,0.04002727140534906
Servicios financieros y de seguros,0.0126655459365562,0.014756579180694694,0.04646982030051961,0.038006690834674214
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.19856567734728167,0.14867983338395882,0.2882581780860813,0.08948066378118583
"Servicios profesionales, científicos y técnicos",0.3958681929466865,0.6219940221828293,0.1543073070241733,0.16452397633552304
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.21478596978686076,0.32368664371300626,0.1694269587514719,0.1757586542392888
Servicios educativos,0.2464026738898781,0.26835975991471284,0.6600886411460029,0.33083535689179167
Servicios de salud y de asistencia social,0.20597410034808988,0.1716067186582315,0.24754302207321133,0.2796658225792963
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.21735431802385155,0.021823284312697488,0.07999430772530657,0.12655732797113997
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.1934969683843838,0.16193659039016134,0.15640669709541194,0.1910091294736017
Otros servicios excepto actividades gubernamentales,0.43253600489672545,0.21985910559184596,0.22023705156439266,0.2177765563172587
Total,1.1440095116802829,0.5683492804000883,0.4637711885298272,0.253146165271753
