Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.1400122244996407,0.8768186129973146,5.590298805690556,14.758605664251924
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,3.1516618454208043,3.1276760237006376,,6.928083902987185
Industrias manufactureras,6.923443051672967,3.3796898412473935,3.206148912790617,3.0160996040837618
Comercio al por mayor,0.3936653465732409,0.3855591810687718,0.24378952678792007,0.2573121251115795
Comercio al por menor,0.8565110631280686,0.8952487498156528,0.8219762639368311,0.6937042748786002
"Transportes, correos y almacenamiento",1.634009347735408,1.5308511814927106,2.023690066933265,3.005012143367326
Información en medios masivos,9.754450497688447,3.667310138554284,0.8734332067041742,0.46208122810581537
Servicios financieros y de seguros,0.03112316577496107,0.05690141313320387,0.11346392325242724,0.16258536248740293
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,8.05978521000627,4.61434967536743,1.8653124039128988,0.8741248525067182
"Servicios profesionales, científicos y técnicos",2.9666749054166393,5.027013876777404,0.8369765355969412,0.812069521870362
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.4221879546483487,1.0047584608594424,0.2635962884335877,1.0245024887103942
Servicios educativos,1.6362661790604067,1.2759570559755435,0.14421389720820627,0.8956211151099089
Servicios de salud y de asistencia social,1.3081905842504773,1.1661083631908993,1.1190287835797388,1.3808175347178446
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.38533446996058496,0.9322751849681289,0.40044048425071815,0.56372530493947
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.5610309559198712,0.5854247608003408,0.6073787084988942,0.5387639483060701
Otros servicios excepto actividades gubernamentales,0.9867930014446039,0.5999719666808222,0.5772673563254388,0.8040343234424501
Total,4.201149822135063,2.101104187218754,1.6718130235179849,1.5406476000683869
